PAC4GC_38658443	EB27023.1	mrna-11262	g6656.t1	mrna-7713	mrna-754
PAC4GC_38632673	EB23263.1	mrna-4429	g30592.t1	mrna-2504	mrna-4577
PAC4GC_38632411	EB22631.2	mrna-4428	g30608.t1	mrna-12129	mrna-4578
PAC4GC_38632474	EB23188.1	mrna-4427	g30610.t1	mrna-12130	mrna-4579
PAC4GC_38631883	EB22525.2	mrna-4419	g30488.t1	mrna-2487	mrna-4625
PAC4GC_38633233	EB22760.1	mrna-4502	g30486.t1	mrna-2486	mrna-4626
PAC4GC_38632822	EB22670.1	mrna-4331	g30713.t1	mrna-10414	mrna-4615
PAC4GC_38631285	EB22704.1	mrna-4334	g30717.t1	mrna-3411	mrna-4612
PAC4GC_38633141	EB23308.1	mrna-2273	g30892.t1	mrna-8889	mrna-4648
PAC4GC_38632105	EB23256.1	mrna-2274	g30893.t1	mrna-8884	mrna-4649
PAC4GC_38631634	EB22810.1	mrna-2275	g30894.t2	mrna-8883	mrna-4650
PAC4GC_38631454	EB22541.1	mrna-2278	g30908.t1	mrna-8879	mrna-4653
PAC4GC_38634194	EB22485.1	mrna-2279	g30912.t1	mrna-8877	mrna-4654
PAC4GC_38634112	EB23219.3	mrna-2450	g31102.t1	mrna-8871	mrna-4655
PAC4GC_38632550	EB22828.1	transcript-1134	g31106.t1	transcript-21345	transcript-3176
PAC4GC_38631778	EB22816.1	mrna-2449	g31117.t1	mrna-8870	mrna-4656
PAC4GC_38632237	EB22499.1	mrna-2448	g31126.t1	mrna-8869	mrna-4658
PAC4GC_38631768	EB23203.1	mrna-2447	g31127.t1	mrna-8868	mrna-4659
PAC4GC_38632929	EB22702.1	mrna-2444	g31132.t1	mrna-15187	mrna-4568
PAC4GC_38631129	EB23024.1	mrna-2442	g31135.t1	mrna-16745	mrna-4566
PAC4GC_38631989	EB23267.1	mrna-2439	g31184.t1	mrna-17352	mrna-4563
PAC4GC_38632614	EB22665.1	mrna-2436	g31189.t1	mrna-17349	mrna-4560
PAC4GC_38633492	EB23312.2	mrna-2257	g31194.t3	mrna-17347	mrna-4558
PAC4GC_38632969	EB23031.1	mrna-2259	g31201.t1	mrna-17346	mrna-4557
PAC4GC_38631483	EB22550.1	mrna-2261	g31202.t1	mrna-17345	mrna-4556
PAC4GC_38633670	EB22880.1	mrna-2262	g31203.t1	mrna-17344	mrna-4555
PAC4GC_38634394	EB22210.1	mrna-4466	g31753.t1	mrna-5343	mrna-4688
PAC4GC_38632478	EB22177.1	mrna-4465	g31760.t1	mrna-5344	mrna-4689
PAC4GC_38632575	EB22275.1	mrna-4464	g31761.t1	mrna-5345	mrna-4690
PAC4GC_38631302	EB22553.1	mrna-4462	g31773.t1	mrna-3423	mrna-4692
PAC4GC_38631402	EB23057.6	mrna-4460	g31792.t1	mrna-3421	mrna-4694
PAC4GC_38631260	EB23015.1	mrna-4498	g31925.t1	mrna-2485	mrna-4529
PAC4GC_38631253	EB22618.1	mrna-4372	g31952.t1	mrna-2484	mrna-4530
PAC4GC_38633082	EB22721.1	mrna-4373	g31953.t1	mrna-2483	mrna-4531
PAC4GC_38632201	EB22763.1	mrna-2301	g30615.t1	mrna-12133	mrna-4526
PAC4GC_38631564	EB23166.1	mrna-2300	g30616.t1	mrna-12134	mrna-4525
PAC4GC_38634374	EB22369.1	mrna-2299	g30620.t1	mrna-12135	mrna-4524
PAC4GC_38632901	EB22790.1	mrna-2298	g30639.t1	mrna-10520	mrna-4523
PAC4GC_38633243	EB23311.1	mrna-4471	g31739.t1	mrna-5338	mrna-4682
PAC4GC_38631821	EB22505.1	mrna-4470	g31741.t1	mrna-5339	mrna-4683
PAC4GC_38632462	EB22662.1	mrna-4469	g31742.t1	mrna-5340	mrna-4684
PAC4GC_38632328	EB23017.1	mrna-2357	g29382.t1	mrna-3726	mrna-4441
PAC4GC_38634052	EB22357.1	mrna-4509	g29365.t1	mrna-3729	mrna-4444
PAC4GC_38632356	EB22849.1	mrna-4510	g29359.t1	mrna-3730	mrna-4445
PAC4GC_38631185	EB22694.1	mrna-4515	g29346.t1	mrna-3732	mrna-4450
PAC4GC_38631518	EB22285.1	mrna-4516	g29345.t1	mrna-3733	mrna-4451
PAC4GC_38632627	EB22350.1	mrna-4517	g29344.t1	mrna-3734	mrna-4452
PAC4GC_38632252	EB23296.1	mrna-4518	g29343.t1	mrna-3735	mrna-4627
PAC4GC_38633926	EB22778.1	mrna-4519	g28882.t1	mrna-3736	mrna-4514
PAC4GC_38633864	EB22650.1	mrna-2297	g28892.t1	mrna-3738	mrna-4512
PAC4GC_38633298	EB23092.1	mrna-4457	g28918.t1	mrna-3740	mrna-4511
PAC4GC_38631328	EB22529.1	mrna-4456	g28919.t1	mrna-3741	mrna-4483
PAC4GC_38631631	EB23177.1	mrna-4455	g28921.t1	mrna-3742	mrna-4484
PAC4GC_38632483	EB22802.1	mrna-4454	g28922.t1	mrna-3743	mrna-4485
PAC4GC_38634304	EB23250.1	mrna-4453	g28939.t1	mrna-3744	mrna-4486
PAC4GC_38631355	EB22566.1	mrna-4431	g28940.t1	mrna-1737	mrna-4487
PAC4GC_38633688	EB22393.1	mrna-4433	g28943.t1	mrna-1735	mrna-4490
PAC4GC_38634007	EB23082.1	mrna-4434	g28952.t1	mrna-1734	mrna-4491
PAC4GC_38631234	EB22181.1	mrna-4500	g29002.t1	mrna-1717	mrna-4501
PAC4GC_38633650	EB22432.1	mrna-4501	g29003.t1	mrna-1716	mrna-4502
PAC4GC_38634217	EB22460.3	mrna-2372	g31211.t1	mrna-17341	mrna-4552
PAC4GC_38631986	EB22305.1	mrna-2373	g31210.t1	mrna-17342	mrna-4553
PAC4GC_38631700	EB23104.1	mrna-2332	g31205.t1	mrna-17343	mrna-4554
PAC4GC_38632637	EB22747.1	mrna-4408	g29391.t1	mrna-3723	mrna-4439
PAC4GC_38633834	EB22415.1	mrna-2282	g29483.t1	mrna-12265	mrna-4434
PAC4GC_38632362	EB22680.1	mrna-2283	g29525.t1	mrna-12264	mrna-4433
PAC4GC_38634170	EB23195.1	mrna-2285	g29545.t1	mrna-12262	mrna-4431
PAC4GC_38653755	EB10717.1	mrna-4288	g39891.t1	mrna-4519	mrna-2923
PAC4GC_38655023	EB09862.1	mrna-11647	g39900.t1	mrna-4516	mrna-2924
PAC4GC_38651539	EB09481.1	mrna-11644	g39909.t1	mrna-4510	mrna-2929
PAC4GC_38652256	EB10458.1	mrna-11643	g39910.t1	mrna-4509	mrna-2913
PAC4GC_38652589	EB10199.2	mrna-11649	g39913.t1	mrna-4505	mrna-2910
PAC4GC_38655191	EB09442.1	mrna-4093	g39940.t1	mrna-4500	mrna-2905
PAC4GC_38653865	EB09833.1	mrna-4165	g39941.t1	mrna-4499	mrna-2904
PAC4GC_38654772	EB09771.4	mrna-4163	g117919.t1	mrna-4497	mrna-2902
PAC4GC_38652773	EB09587.2	mrna-4162	g39949.t1	mrna-4496	mrna-2901
PAC4GC_38652001	EB09878.1	mrna-4161	g39951.t1	mrna-4495	mrna-2900
PAC4GC_38653526	EB10574.1	mrna-4203	g39969.t1	mrna-4490	mrna-2895
PAC4GC_38653775	EB09157.1	mrna-4198	g39977.t1	mrna-4485	mrna-2891
PAC4GC_38652170	EB10591.1	mrna-4197	g39979.t1	mrna-4483	mrna-2890
PAC4GC_38652453	EB10107.1	mrna-4196	g39982.t1	mrna-4482	mrna-2889
PAC4GC_38654619	EB10522.2	mrna-4098	g38869.t1	mrna-5581	mrna-3216
PAC4GC_38655384	EB10473.1	mrna-4097	g38868.t1	mrna-5582	mrna-3217
PAC4GC_38652819	EB09669.1	mrna-4096	g38862.t1	mrna-5583	mrna-3218
PAC4GC_38651729	EB09397.1	mrna-4057	g38764.t1	mrna-5585	mrna-3221
PAC4GC_38654997	EB10684.1	mrna-4055	g38760.t1	mrna-5588	mrna-3223
PAC4GC_38652123	EB10327.1	mrna-4053	g38741.t1	mrna-5591	mrna-3225
PAC4GC_38654923	EB10037.2	mrna-4052	g38727.t1	mrna-5592	mrna-3226
PAC4GC_38651575	EB10384.1	mrna-4051	g38725.t1	mrna-5593	mrna-3227
PAC4GC_38654736	EB09292.4	mrna-4046	g39145.t1	mrna-3803	mrna-3198
PAC4GC_38651645	EB09478.1	mrna-4044	g39151.t1	mrna-3805	mrna-3200
PAC4GC_38652080	EB10682.1	mrna-11669	g41649.t1	mrna-13790	mrna-3063
PAC4GC_38651723	EB10094.1	mrna-12178	g40280.t1	mrna-8444	mrna-2806
PAC4GC_38651989	EB10400.1	mrna-12177	g40279.t1	mrna-8445	mrna-2807
PAC4GC_38651824	EB10296.1	mrna-12176	g40278.t1	mrna-8446	mrna-2808
PAC4GC_38652221	EB10646.1	mrna-12175	g40274.t1	mrna-8447	mrna-2809
PAC4GC_38653083	EB10687.3	mrna-12172	g40267.t1	mrna-8449	mrna-2810
PAC4GC_38652322	EB09301.3	mrna-12171	g40266.t1	mrna-8450	mrna-2811
PAC4GC_38654033	EB10723.1	mrna-4195	g39984.t1	mrna-4481	mrna-2888
PAC4GC_38652376	EB09107.5	mrna-4194	g39985.t1	mrna-4480	mrna-2887
PAC4GC_38652663	EB10264.3	mrna-4193	g39986.t1	mrna-4479	mrna-2886
PAC4GC_38653711	EB10193.1	mrna-11972	g40840.t1	mrna-511	mrna-3244
PAC4GC_38652501	EB10742.1	mrna-11971	g40841.t1	mrna-510	mrna-3243
PAC4GC_38653583	EB09922.4	mrna-4102	g39214.t1	mrna-5577	mrna-3213
PAC4GC_38653645	EB10573.2	mrna-4282	g40020.t1	mrna-4467	mrna-2851
PAC4GC_38653227	EB10276.1	mrna-11853	g40716.t1	transcript-37397	mrna-3019
PAC4GC_38652731	EB10501.1	mrna-11852	g40715.t1	mrna-15199	mrna-3018
PAC4GC_38652051	EB09829.1	mrna-11460	g40712.t1	mrna-15197	mrna-3010
PAC4GC_38655130	EB09551.1	mrna-11459	g40706.t1	mrna-15195	mrna-3011
PAC4GC_38651626	EB09499.1	mrna-11458	g40705.t1	mrna-15194	mrna-3012
PAC4GC_38652564	EB09805.1	mrna-4150	g40004.t1	mrna-4469	mrna-2848
PAC4GC_38654722	EB09239.1	mrna-4151	g40025.t1	mrna-4468	mrna-2849
PAC4GC_38653567	EB09504.1	mrna-12167	g40817.t1	mrna-514	mrna-3038
PAC4GC_38651741	EB09337.2	mrna-12166	g40816.t1	mrna-515	mrna-3037
PAC4GC_38653777	EB09333.2	mrna-12165	g40815.t1	mrna-516	mrna-3036
PAC4GC_38654434	EB09741.1	mrna-12164	g40813.t1	mrna-517	mrna-3035
PAC4GC_38655234	EB10341.1	mrna-12163	g40812.t1	mrna-518	mrna-3034
PAC4GC_38652296	EB10775.1	mrna-12162	g40811.t1	mrna-519	mrna-3033
PAC4GC_38654422	EB10602.1	mrna-12160	g40783.t1	mrna-522	mrna-3032
PAC4GC_38652257	EB09271.1	mrna-11397	g40741.t1	mrna-527	mrna-3028
PAC4GC_38652353	EB10621.1	mrna-11832	g40671.t1	mrna-529	mrna-3026
PAC4GC_38653896	EB09662.1	mrna-11838	g41118.t1	mrna-445	mrna-3275
PAC4GC_38651479	EB10724.1	mrna-11839	g41116.t1	mrna-446	mrna-3274
PAC4GC_38651765	EB09916.1	mrna-11857	g41100.t1	mrna-447	mrna-3273
PAC4GC_38653908	EB09130.1	mrna-11859	g41097.t1	transcript-954	mrna-3271
PAC4GC_38653069	EB09611.1	mrna-11861	g41092.t1	mrna-451	mrna-3268
PAC4GC_38655135	EB09563.1	mrna-11862	g41091.t1	mrna-452	mrna-3267
PAC4GC_38653015	EB10662.1	mrna-11864	g41087.t1	mrna-458	mrna-3265
PAC4GC_38653379	EB10178.1	mrna-11865	g41086.t1	mrna-459	mrna-3264
PAC4GC_38651631	EB09184.1	mrna-11866	g41083.t1	mrna-461	mrna-3259
PAC4GC_38655195	EB09149.1	mrna-11868	g41080.t1	mrna-469	mrna-3258
PAC4GC_38652461	EB10430.1	mrna-12088	g42036.t2	mrna-5696	mrna-2787
PAC4GC_38653099	EB09716.1	mrna-12090	g42095.t1	mrna-5692	mrna-3185
PAC4GC_38654099	EB10279.1	mrna-12087	g42096.t1	mrna-5691	mrna-3184
PAC4GC_38652933	EB10367.1	mrna-12085	g42107.t1	mrna-5689	transcript-1866
PAC4GC_38652040	EB10140.1	mrna-11806	g42109.t1	mrna-5688	mrna-3182
PAC4GC_38653757	EB09493.1	mrna-11825	g41597.t1	mrna-13787	mrna-3043
PAC4GC_38655177	EB09612.1	mrna-11822	g41594.t1	mrna-13784	mrna-3162
PAC4GC_38651476	EB09525.1	mrna-11823	g41595.t1	mrna-13785	mrna-3161
PAC4GC_38654326	EB09643.1	mrna-11824	g41596.t1	mrna-13786	mrna-3042
PAC4GC_38653343	EB09837.1	mrna-11820	g41554.t1	mrna-13782	mrna-3169
PAC4GC_38654843	EB10309.1	mrna-11819	g41553.t1	mrna-13781	mrna-3170
PAC4GC_38654603	EB10450.1	mrna-11818	g41551.t1	mrna-13780	mrna-3171
PAC4GC_38653441	EB10315.1	mrna-11817	g41548.t1	mrna-13779	mrna-3172
PAC4GC_38653657	EB09319.1	mrna-11808	g42160.t1	mrna-5686	mrna-3180
PAC4GC_38651636	EB09557.3	mrna-11807	g42157.t1	mrna-5687	mrna-3181
PAC4GC_38652034	EB09677.1	mrna-12169	g40828.t1	mrna-513	mrna-3041
PAC4GC_38652348	EB10753.1	mrna-11444	g40246.t1	mrna-8455	mrna-2817
PAC4GC_38653171	EB09470.1	mrna-11445	g40247.t1	mrna-8454	mrna-2816
PAC4GC_38655091	EB09258.1	mrna-4099	g38880.t1	mrna-5580	mrna-3215
PAC4GC_38653869	EB10244.1	mrna-4100	g38881.t1	mrna-5579	mrna-3214
PAC4GC_38655304	EB10550.1	mrna-4084	g40081.t1	mrna-4461	mrna-2860
PAC4GC_38653122	EB10464.2	mrna-4087	g40091.t1	mrna-4459	mrna-2863
PAC4GC_38652297	EB10183.1	mrna-4089	g40098.t1	mrna-4457	mrna-2865
PAC4GC_38655046	EB09927.3	mrna-4090	g40099.t1	mrna-4456	mrna-2866
PAC4GC_38655276	EB09487.2	mrna-4091	g40100.t1	mrna-4454	mrna-2868
PAC4GC_38653498	EB09588.1	mrna-4092	g40101.t1	mrna-4453	mrna-2869
PAC4GC_38654882	EB10074.1	mrna-11636	g40107.t1	mrna-4451	mrna-2872
PAC4GC_38651812	EB10316.1	mrna-11637	g40112.t1	mrna-8488	mrna-2873
PAC4GC_38652426	EB09267.2	mrna-11638	g40113.t1	mrna-8487	mrna-2874
PAC4GC_38651552	EB10123.1	mrna-11641	g40119.t1	mrna-8483	mrna-2878
PAC4GC_38655244	EB09192.1	mrna-11642	g40122.t1	mrna-8482	mrna-2880
PAC4GC_38652855	EB10521.1	mrna-11417	g40123.t1	mrna-8481	mrna-2881
PAC4GC_38652557	EB09631.1	mrna-11418	g40124.t1	mrna-8480	mrna-2882
PAC4GC_38653929	EB09206.1	mrna-11419	g40125.t2	mrna-8478	mrna-2883
PAC4GC_38654600	EB10516.1	mrna-11423	g40151.t1	mrna-8474	mrna-2837
PAC4GC_38652863	EB10590.1	mrna-11426	g40174.t1	mrna-8472	mrna-2834
PAC4GC_38652845	EB09675.1	mrna-11427	g40175.t1	mrna-8471	mrna-2833
PAC4GC_38654615	EB09577.7	mrna-11428	g40188.t1	mrna-8470	mrna-2832
PAC4GC_38653881	EB09357.1	mrna-11429	g40191.t1	mrna-8468	mrna-2829
PAC4GC_38651830	EB10691.1	mrna-11430	g40193.t1	mrna-8467	mrna-2828
PAC4GC_38655266	EB10192.1	mrna-11431	g40194.t1	mrna-8466	mrna-2827
PAC4GC_38655101	EB09870.2	mrna-11432	g40196.t1	mrna-8465	mrna-2826
PAC4GC_38653717	EB10663.1	mrna-11434	g40201.t1	mrna-8463	mrna-2824
PAC4GC_38652856	EB09368.1	mrna-11435	g40230.t1	mrna-8462	mrna-2823
PAC4GC_38654591	EB10240.1	mrna-11436	g40231.t1	mrna-8461	mrna-2822
PAC4GC_38653590	EB10180.1	mrna-11854	g40720.t1	mrna-15207	mrna-3020
PAC4GC_38653693	EB09387.1	mrna-11855	g40731.t1	mrna-15208	mrna-3021
PAC4GC_38654669	EB09553.1	mrna-11856	g40733.t1	mrna-15209	mrna-3024
PAC4GC_38655302	EB09890.1	mrna-11668	g41131.t1	mrna-441	mrna-3280
PAC4GC_38654331	EB10339.1	mrna-11512	g41136.t1	mrna-437	mrna-3282
PAC4GC_38653825	EB09169.1	mrna-11628	g41138.t1	mrna-435	mrna-3283
PAC4GC_38654524	EB10139.1	mrna-4295	g39827.t1	mrna-4524	mrna-2915
PAC4GC_38651889	EB10061.1	mrna-11677	g41241.t1	mrna-421	mrna-3296
PAC4GC_38655322	EB09845.1	mrna-11678	g41250.t2	mrna-420	mrna-3297
PAC4GC_38651806	EB10665.1	mrna-11679	g41251.t1	mrna-419	mrna-3298
PAC4GC_38651971	EB10056.1	mrna-11681	g41254.t1	mrna-415	mrna-3150
PAC4GC_38653591	EB09929.1	mrna-11612	g41255.t1	mrna-414	mrna-3149
PAC4GC_38653533	EB09223.1	mrna-11415	g42213.t1	mrna-412	mrna-3147
PAC4GC_38653442	EB10118.1	mrna-11399	g41386.t1	mrna-16708	mrna-3128
PAC4GC_38653636	EB10237.1	mrna-11837	g41413.t1	mrna-16703	mrna-3123
PAC4GC_38654889	EB10225.5	mrna-11847	g41424.t1	mrna-10508	mrna-3117
PAC4GC_38654195	EB09957.1	mrna-11848	g41425.t1	mrna-10507	mrna-3116
PAC4GC_38653002	EB10465.1	mrna-11849	g41440.t1	mrna-10506	mrna-3114
PAC4GC_38654351	EB09690.1	mrna-11850	g41444.t1	mrna-10505	mrna-3113
PAC4GC_38654224	EB10599.1	mrna-11841	g41447.t1	mrna-10504	mrna-3112
PAC4GC_38654359	EB10063.1	mrna-11673	g41449.t1	mrna-10502	mrna-3110
PAC4GC_38654232	EB10731.1	mrna-11672	g41453.t1	mrna-10500	mrna-3109
PAC4GC_38654717	EB09491.1	mrna-11840	g41455.t1	mrna-10498	mrna-3108
PAC4GC_38652571	EB09930.1	mrna-11682	g41457.t1	mrna-10497	mrna-3107
PAC4GC_38651818	EB09502.1	mrna-4190	g41467.t1	mrna-10486	mrna-3102
PAC4GC_38651483	EB09710.1	mrna-4188	g41468.t1	mrna-10485	mrna-3101
PAC4GC_38652815	EB09537.1	mrna-4234	g41489.t2	transcript-21832	mrna-3097
PAC4GC_38653752	EB09605.1	mrna-4063	g41508.t1	mrna-9094	mrna-3096
PAC4GC_38651792	EB09396.1	mrna-4065	g41516.t1	mrna-9090	mrna-3093
PAC4GC_38654289	EB09547.1	mrna-4182	g41863.t1	mrna-9087	mrna-3089
PAC4GC_38652823	EB09489.1	mrna-11635	g41832.t1	mrna-5681	mrna-3058
PAC4GC_38652323	EB10002.4	mrna-11514	g41709.t1	mrna-13811	mrna-3051
PAC4GC_38653110	EB09652.2	mrna-11510	g41838.t1	mrna-13797	mrna-3074
PAC4GC_38652980	EB10734.1	mrna-11503	g41698.t1	mrna-13806	mrna-3067
PAC4GC_38652681	EB10529.1	mrna-11504	g41688.t1	mrna-13805	mrna-3068
PAC4GC_38652430	EB09956.2	mrna-11508	g41680.t1	mrna-13800	mrna-3071
PAC4GC_38654035	EB09480.1	mrna-11509	g41835.t1	mrna-13799	mrna-3072
PAC4GC_38652769	EB09256.1	transcript-5534	g41837.t1	mrna-13798	mrna-3073
PAC4GC_38652880	EB09598.1	mrna-11633	g41677.t1	mrna-13794	mrna-3060
PAC4GC_38652311	EB10082.1	mrna-11632	g41676.t1	mrna-13793	mrna-3061
PAC4GC_38651939	EB10605.1	mrna-11630	g41651.t1	mrna-13791	mrna-3062
PAC4GC_38653233	EB10738.2	mrna-12219	g40298.t1	mrna-13886	mrna-2804
PAC4GC_38655379	EB09274.1	mrna-12220	g40299.t1	mrna-13887	mrna-2803
PAC4GC_38654273	EB09106.2	mrna-12226	g40306.t1	mrna-13890	mrna-2793
PAC4GC_38655160	EB10448.1	mrna-12229	g40339.t1	mrna-13894	mrna-3189
PAC4GC_38653468	EB09540.1	mrna-12230	g40344.t1	mrna-13895	mrna-3190
PAC4GC_38651756	EB09946.1	mrna-12216	g40345.t1	mrna-13896	mrna-3191
PAC4GC_38652851	EB10482.1	mrna-12215	g40348.t1	mrna-13897	mrna-3192
PAC4GC_38654805	EB10277.1	mrna-12200	g40359.t1	mrna-13899	mrna-3155
PAC4GC_38653346	EB09689.1	mrna-12206	g40361.t1	mrna-13906	mrna-3301
PAC4GC_38654509	EB10156.1	mrna-12209	g119989.t1	mrna-13909	mrna-3304
PAC4GC_38654938	EB10491.1	mrna-12211	g40406.t1	mrna-13912	mrna-3306
PAC4GC_38655289	EB09558.1	mrna-12212	g40407.t1	mrna-13913	mrna-3307
PAC4GC_38652204	EB10672.1	mrna-12213	g40408.t1	mrna-13914	mrna-3308
PAC4GC_38653793	EB10622.1	mrna-12198	g40434.t1	mrna-13916	mrna-3311
PAC4GC_38653209	EB09894.1	mrna-12196	g40445.t1	mrna-13918	mrna-2982
PAC4GC_38654210	EB09814.1	mrna-12195	g40446.t1	mrna-13919	mrna-2983
PAC4GC_38653454	EB09517.1	mrna-12194	g40453.t1	mrna-13920	mrna-2985
PAC4GC_38652347	EB09212.1	mrna-12193	g40454.t1	mrna-13921	mrna-2986
PAC4GC_38653897	EB09427.1	mrna-12192	g40459.t1	mrna-13922	mrna-2987
PAC4GC_38654291	EB10610.1	mrna-12191	g40460.t1	mrna-13923	mrna-2988
PAC4GC_38651601	EB09934.1	mrna-12158	g40463.t1	mrna-13925	mrna-2990
PAC4GC_38654246	EB10252.1	mrna-12152	g40485.t1	mrna-13928	mrna-2998
PAC4GC_38654744	EB10370.1	mrna-12183	g40504.t1	mrna-14056	mrna-3001
PAC4GC_38651848	EB10630.1	mrna-12184	g40505.t1	mrna-14057	mrna-3002
PAC4GC_38654042	EB09552.1	mrna-12185	g40506.t1	mrna-14058	mrna-3003
PAC4GC_38654790	EB10101.1	mrna-12186	g40514.t1	mrna-14059	mrna-3004
PAC4GC_38654287	EB10318.1	mrna-12189	g40528.t1	mrna-14062	mrna-3007
PAC4GC_38653948	EB10659.1	mrna-12231	g40553.t1	mrna-14063	mrna-3008
PAC4GC_38651593	EB09217.2	mrna-2839	g40583.t1	mrna-14064	mrna-3009
PAC4GC_38653042	EB10148.1	mrna-4145	g39997.t1	mrna-4471	mrna-2845
PAC4GC_38653463	EB09670.1	mrna-4142	g39994.t1	mrna-4474	mrna-2843
PAC4GC_38651950	EB09815.1	mrna-4141	g39991.t1	mrna-4475	mrna-2842
PAC4GC_38653919	EB10635.1	mrna-4140	g39990.t1	mrna-4476	mrna-2841
PAC4GC_38652634	EB09105.1	mrna-4139	g39989.t1	mrna-4477	mrna-2840
PAC4GC_38654996	EB09395.1	mrna-4138	g39987.t1	mrna-4478	mrna-2839
PAC4GC_38652636	EB10669.1	mrna-4107	g39236.t1	mrna-9508	mrna-3338
PAC4GC_38652387	EB10415.1	mrna-4109	g39243.t1	mrna-9510	mrna-3336
PAC4GC_38652965	EB09853.1	mrna-4110	g39246.t1	mrna-9511	mrna-3335
PAC4GC_38654285	EB09459.1	mrna-4111	g39264.t1	mrna-9512	mrna-3334
PAC4GC_38654583	EB09978.1	mrna-4113	g39271.t1	mrna-9515	mrna-3332
PAC4GC_38653256	EB09423.2	mrna-4114	g39273.t1	mrna-9518	mrna-3331
PAC4GC_38652237	EB10126.2	mrna-4129	g39347.t1	mrna-9530	mrna-3324
PAC4GC_38654275	EB09841.1	mrna-4128	g39351.t1	mrna-9531	mrna-3323
PAC4GC_38655123	EB09539.1	mrna-4127	g39352.t1	mrna-9532	mrna-3322
PAC4GC_38654708	EB10514.1	mrna-4125	g39356.t1	mrna-9534	mrna-3319
PAC4GC_38653221	EB09638.1	mrna-4124	g39362.t1	mrna-9535	mrna-3318
PAC4GC_38654825	EB10778.2	mrna-4123	g39366.t1	mrna-9538	mrna-3317
PAC4GC_38652751	EB09454.1	mrna-4121	g39457.t1	mrna-9542	mrna-3315
PAC4GC_38652723	EB09999.1	mrna-4120	g39529.t1	mrna-9544	mrna-3314
PAC4GC_38651973	EB10500.1	mrna-4119	g39531.t1	mrna-9545	mrna-3313
PAC4GC_38654522	EB10700.1	mrna-4118	g39534.t1	mrna-9546	mrna-3312
PAC4GC_38655212	EB09514.1	mrna-4117	g39537.t1	mrna-9547	mrna-2980
PAC4GC_38651811	EB09720.1	mrna-4116	g39547.t1	mrna-9548	mrna-2979
PAC4GC_38654792	EB09260.1	transcript-1948	g39550.t1	mrna-9549	mrna-2978
PAC4GC_38654759	EB09874.2	mrna-4133	g39553.t1	mrna-9550	mrna-2977
PAC4GC_38654634	EB09448.1	mrna-4135	g39566.t1	mrna-9553	mrna-2974
PAC4GC_38652687	EB10232.1	mrna-4059	g39577.t1	mrna-9556	mrna-2972
PAC4GC_38653160	EB10695.1	mrna-3915	g39590.t1	mrna-9559	mrna-2967
PAC4GC_38654576	EB10488.1	mrna-3916	g39593.t1	mrna-9560	mrna-2966
PAC4GC_38654526	EB10545.1	mrna-3917	g39601.t1	mrna-9561	mrna-2965
PAC4GC_38652866	EB09747.1	mrna-3919	g39607.t1	mrna-9562	mrna-2963
PAC4GC_38652755	EB10387.1	mrna-4069	g39613.t1	mrna-9566	mrna-2961
PAC4GC_38654174	EB10234.1	mrna-4070	g39616.t1	mrna-9567	mrna-2960
PAC4GC_38653893	EB09464.1	transcript-1937	g39619.t1	transcript-22638	transcript-1792
PAC4GC_38653065	EB09374.1	mrna-4071	g39620.t1	mrna-9568	mrna-2959
PAC4GC_38655008	EB09794.1	mrna-4072	g39621.t1	mrna-9569	mrna-2958
PAC4GC_38652697	EB10219.1	mrna-4074	g39624.t1	mrna-9571	mrna-2956
PAC4GC_38655377	EB09268.1	mrna-4060	g39629.t1	mrna-9574	mrna-2953
PAC4GC_38652632	EB10656.1	mrna-4224	g39649.t1	mrna-4541	mrna-2946
PAC4GC_38653426	EB10618.1	mrna-4225	g39675.t1	mrna-4542	mrna-2945
PAC4GC_38655353	EB10551.1	mrna-4290	g39732.t1	mrna-4534	mrna-2938
PAC4GC_38652874	EB10344.4	mrna-4291	g39733.t1	mrna-4533	mrna-2937
PAC4GC_38651709	EB09230.1	mrna-4293	g39759.t1	mrna-4529	mrna-2935
PAC4GC_38571119	EB33567.1	mrna-803	g47084.t1	transcript-25622	mrna-4060
PAC4GC_38571642	EB33464.3	mrna-804	g47107.t1	mrna-11629	mrna-4062
PAC4GC_38569817	EB33734.3	mrna-805	g47113.t1	mrna-11632	mrna-4064
PAC4GC_38571856	EB34066.1	mrna-806	g46861.t1	mrna-11633	mrna-3941
PAC4GC_38569848	EB33232.1	mrna-807	g46862.t1	mrna-11634	mrna-3942
PAC4GC_38570847	EB33219.4	mrna-809	g46877.t1	mrna-11636	mrna-3944
PAC4GC_38569172	EB33366.1	mrna-811	g117915.t1	mrna-11639	mrna-3946
PAC4GC_38570128	EB33580.2	mrna-813	g46913.t1	mrna-11640	mrna-3947
PAC4GC_38571194	EB33065.1	mrna-814	g46924.t1	mrna-11641	mrna-3940
PAC4GC_38570091	EB33199.2	mrna-815	g46938.t1	mrna-11642	mrna-3939
PAC4GC_38572472	EB33318.1	mrna-816	g46940.t1	transcript-27636	mrna-4108
PAC4GC_38572281	EB33594.1	mrna-820	g46959.t1	mrna-11649	mrna-4118
PAC4GC_38572200	EB33363.1	mrna-822	g46971.t1	mrna-11655	mrna-4120
PAC4GC_38571378	EB33244.1	mrna-5145	g45392.t1	mrna-15566	mrna-4124
PAC4GC_38569470	EB33425.1	mrna-5146	g45558.t1	mrna-16397	mrna-4123
